timestamp,city,aqi,weather_icon,wind_speed,humidity,temperature,pm25,pm10,o3,no2,so2,co
2025-06-01T00:01:58.886015+07:00,Trà Vinh,25,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.6 km/h,88%,26.1°C,4.5,12.2,1.3,14.0,10.5,3.1
2025-06-01T01:10:54.479380+07:00,Trà Vinh,25,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.0 km/h,88%,25.0°C,4.6,9.5,1.6,8.8,10.5,2.8
2025-06-01T02:01:57.679514+07:00,Trà Vinh,24,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,91%,25.0°C,4.5,8.4,1.5,8.6,10.5,2.8
2025-06-01T03:01:53.676534+07:00,Trà Vinh,24,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.2 km/h,92%,25.0°C,4.4,7.4,2.0,8.5,10.5,3.1
2025-06-01T04:02:06.846131+07:00,Trà Vinh,23,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.8 km/h,91%,25.0°C,4.3,6.5,2.4,7.2,10.5,2.6
2025-06-01T05:02:12.713092+07:00,Trà Vinh,23,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.9 km/h,92%,25.0°C,4.2,6.6,1.8,7.2,10.5,3.5
2025-06-01T06:02:15.581134+07:00,Trà Vinh,23,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.1 km/h,92%,25.0°C,4.2,7.1,1.4,11.2,10.5,3.0
2025-06-01T07:53:17.171797+07:00,Trà Vinh,24,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.2 km/h,88%,26.1°C,4.4,7.2,1.6,16.1,1.6,3.4
2025-06-01T09:55:46.551717+07:00,Trà Vinh,24,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,72%,31.1°C,4.4,7.2,51.2,19.9,21.4,0.3
2025-06-01T10:54:35.784911+07:00,Trà Vinh,26,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.9 km/h,62%,32.2°C,4.4,7.4,64.2,21.9,21.3,0.4
2025-06-01T11:26:13.798192+07:00,Trà Vinh,26,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.3 km/h,57%,32.8°C,4.4,7.4,64.2,21.9,21.3,0.4
2025-06-01T12:10:58.904335+07:00,Trà Vinh,26,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.6 km/h,52%,32.2°C,4.4,7.4,64.2,21.9,21.3,0.4
